column,tau,dimension,reason
Lab1_G1_N3,116,19,ArgumentError
Lab1_G1_N3,116,20,ArgumentError
Lab1_G1_N3,117,13,ArgumentError
Lab1_G1_N3,117,14,ArgumentError
Lab1_G1_N3,117,15,ArgumentError
Lab1_G1_N3,117,16,ArgumentError
Lab1_G1_N3,117,17,ArgumentError
Lab1_G1_N3,117,18,ArgumentError
Lab1_G1_N3,117,19,ArgumentError
Lab1_G1_N3,117,20,ArgumentError
Lab1_G1_N3,118,13,ArgumentError
Lab1_G1_N3,118,14,ArgumentError
Lab1_G1_N3,118,15,ArgumentError
Lab1_G1_N3,118,16,ArgumentError
Lab1_G1_N3,118,17,ArgumentError
Lab1_G1_N3,118,18,ArgumentError
Lab1_G1_N3,118,19,ArgumentError
Lab1_G1_N3,118,20,ArgumentError
Lab1_G1_N3,119,3,non_finite_uzal_cost
Lab1_G1_N3,119,13,ArgumentError
Lab1_G1_N3,119,14,ArgumentError
Lab1_G1_N3,119,15,ArgumentError
Lab1_G1_N3,119,16,ArgumentError
Lab1_G1_N3,119,17,ArgumentError
Lab1_G1_N3,119,18,ArgumentError
Lab1_G1_N3,119,19,ArgumentError
Lab1_G1_N3,119,20,ArgumentError
Lab1_G1_N3,120,3,non_finite_uzal_cost
Lab1_G1_N3,120,13,ArgumentError
Lab1_G1_N3,120,14,ArgumentError
Lab1_G1_N3,120,15,ArgumentError
Lab1_G1_N3,120,16,ArgumentError
Lab1_G1_N3,120,17,ArgumentError
Lab1_G1_N3,120,18,ArgumentError
Lab1_G1_N3,120,19,ArgumentError
Lab1_G1_N3,120,20,ArgumentError
Lab1_G1_N3,121,3,non_finite_uzal_cost
Lab1_G1_N3,121,13,ArgumentError
Lab1_G1_N3,121,14,ArgumentError
Lab1_G1_N3,121,15,ArgumentError
Lab1_G1_N3,121,16,ArgumentError
Lab1_G1_N3,121,17,ArgumentError
Lab1_G1_N3,121,18,ArgumentError
Lab1_G1_N3,121,19,ArgumentError
Lab1_G1_N3,121,20,ArgumentError
Lab1_G1_N3,122,3,non_finite_uzal_cost
Lab1_G1_N3,122,13,ArgumentError
Lab1_G1_N3,122,14,ArgumentError
Lab1_G1_N3,122,15,ArgumentError
Lab1_G1_N3,122,16,ArgumentError
Lab1_G1_N3,122,17,ArgumentError
Lab1_G1_N3,122,18,ArgumentError
Lab1_G1_N3,122,19,ArgumentError
Lab1_G1_N3,122,20,ArgumentError
Lab1_G1_N3,123,3,non_finite_uzal_cost
Lab1_G1_N3,123,13,ArgumentError
Lab1_G1_N3,123,14,ArgumentError
Lab1_G1_N3,123,15,ArgumentError
Lab1_G1_N3,123,16,ArgumentError
Lab1_G1_N3,123,17,ArgumentError
Lab1_G1_N3,123,18,ArgumentError
Lab1_G1_N3,123,19,ArgumentError
Lab1_G1_N3,123,20,ArgumentError
Lab1_G1_N3,124,3,non_finite_uzal_cost
Lab1_G1_N3,124,13,ArgumentError
Lab1_G1_N3,124,14,ArgumentError
Lab1_G1_N3,124,15,ArgumentError
Lab1_G1_N3,124,16,ArgumentError
Lab1_G1_N3,124,17,ArgumentError
Lab1_G1_N3,124,18,ArgumentError
Lab1_G1_N3,124,19,ArgumentError
Lab1_G1_N3,124,20,ArgumentError
Lab1_G1_N3,125,3,non_finite_uzal_cost
Lab1_G1_N3,125,13,ArgumentError
Lab1_G1_N3,125,14,ArgumentError
Lab1_G1_N3,125,15,ArgumentError
Lab1_G1_N3,125,16,ArgumentError
Lab1_G1_N3,125,17,ArgumentError
Lab1_G1_N3,125,18,ArgumentError
Lab1_G1_N3,125,19,ArgumentError
Lab1_G1_N3,125,20,ArgumentError
Lab1_G1_N3,126,3,non_finite_uzal_cost
Lab1_G1_N3,126,13,ArgumentError
Lab1_G1_N3,126,14,ArgumentError
Lab1_G1_N3,126,15,ArgumentError
Lab1_G1_N3,126,16,ArgumentError
Lab1_G1_N3,126,17,ArgumentError
Lab1_G1_N3,126,18,ArgumentError
Lab1_G1_N3,126,19,ArgumentError
Lab1_G1_N3,126,20,ArgumentError
Lab1_G1_N3,127,3,non_finite_uzal_cost
Lab1_G1_N3,127,12,ErrorException
Lab1_G1_N3,127,13,ArgumentError
Lab1_G1_N3,127,14,ArgumentError
Lab1_G1_N3,127,15,ArgumentError
Lab1_G1_N3,127,16,ArgumentError
Lab1_G1_N3,127,17,ArgumentError
Lab1_G1_N3,127,18,ArgumentError
Lab1_G1_N3,127,19,ArgumentError
Lab1_G1_N3,127,20,ArgumentError
Lab1_G1_N3,128,3,non_finite_uzal_cost
Lab1_G1_N3,128,12,ArgumentError
Lab1_G1_N3,128,13,ArgumentError
Lab1_G1_N3,128,14,ArgumentError
Lab1_G1_N3,128,15,ArgumentError
Lab1_G1_N3,128,16,ArgumentError
Lab1_G1_N3,128,17,ArgumentError
Lab1_G1_N3,128,18,ArgumentError
Lab1_G1_N3,128,19,ArgumentError
Lab1_G1_N3,128,20,ArgumentError
Lab1_G1_N3,129,3,non_finite_uzal_cost
Lab1_G1_N3,129,12,ArgumentError
Lab1_G1_N3,129,13,ArgumentError
Lab1_G1_N3,129,14,ArgumentError
Lab1_G1_N3,129,15,ArgumentError
Lab1_G1_N3,129,16,ArgumentError
Lab1_G1_N3,129,17,ArgumentError
Lab1_G1_N3,129,18,ArgumentError
Lab1_G1_N3,129,19,ArgumentError
Lab1_G1_N3,129,20,ArgumentError
Lab1_G1_N3,130,3,non_finite_uzal_cost
Lab1_G1_N3,130,12,ArgumentError
Lab1_G1_N3,130,13,ArgumentError
Lab1_G1_N3,130,14,ArgumentError
Lab1_G1_N3,130,15,ArgumentError
Lab1_G1_N3,130,16,ArgumentError
Lab1_G1_N3,130,17,ArgumentError
Lab1_G1_N3,130,18,ArgumentError
Lab1_G1_N3,130,19,ArgumentError
Lab1_G1_N3,130,20,ArgumentError
Lab1_G1_N3,131,3,non_finite_uzal_cost
Lab1_G1_N3,131,12,ArgumentError
Lab1_G1_N3,131,13,ArgumentError
Lab1_G1_N3,131,14,ArgumentError
Lab1_G1_N3,131,15,ArgumentError
Lab1_G1_N3,131,16,ArgumentError
Lab1_G1_N3,131,17,ArgumentError
Lab1_G1_N3,131,18,ArgumentError
Lab1_G1_N3,131,19,ArgumentError
Lab1_G1_N3,131,20,ArgumentError
Lab1_G1_N3,132,12,ArgumentError
Lab1_G1_N3,132,13,ArgumentError
Lab1_G1_N3,132,14,ArgumentError
Lab1_G1_N3,132,15,ArgumentError
Lab1_G1_N3,132,16,ArgumentError
Lab1_G1_N3,132,17,ArgumentError
Lab1_G1_N3,132,18,ArgumentError
Lab1_G1_N3,132,19,ArgumentError
Lab1_G1_N3,132,20,ArgumentError
Lab1_G1_N3,133,3,non_finite_uzal_cost
Lab1_G1_N3,133,12,ArgumentError
Lab1_G1_N3,133,13,ArgumentError
Lab1_G1_N3,133,14,ArgumentError
Lab1_G1_N3,133,15,ArgumentError
Lab1_G1_N3,133,16,ArgumentError
Lab1_G1_N3,133,17,ArgumentError
Lab1_G1_N3,133,18,ArgumentError
Lab1_G1_N3,133,19,ArgumentError
Lab1_G1_N3,133,20,ArgumentError
Lab1_G1_N3,134,12,ArgumentError
Lab1_G1_N3,134,13,ArgumentError
Lab1_G1_N3,134,14,ArgumentError
Lab1_G1_N3,134,15,ArgumentError
Lab1_G1_N3,134,16,ArgumentError
Lab1_G1_N3,134,17,ArgumentError
Lab1_G1_N3,134,18,ArgumentError
Lab1_G1_N3,134,19,ArgumentError
Lab1_G1_N3,134,20,ArgumentError
Lab1_G1_N3,135,3,non_finite_uzal_cost
Lab1_G1_N3,135,12,ArgumentError
Lab1_G1_N3,135,13,ArgumentError
Lab1_G1_N3,135,14,ArgumentError
Lab1_G1_N3,135,15,ArgumentError
Lab1_G1_N3,135,16,ArgumentError
Lab1_G1_N3,135,17,ArgumentError
Lab1_G1_N3,135,18,ArgumentError
Lab1_G1_N3,135,19,ArgumentError
Lab1_G1_N3,135,20,ArgumentError
Lab1_G1_N3,136,3,non_finite_uzal_cost
Lab1_G1_N3,136,12,ArgumentError
Lab1_G1_N3,136,13,ArgumentError
Lab1_G1_N3,136,14,ArgumentError
Lab1_G1_N3,136,15,ArgumentError
Lab1_G1_N3,136,16,ArgumentError
Lab1_G1_N3,136,17,ArgumentError
Lab1_G1_N3,136,18,ArgumentError
Lab1_G1_N3,136,19,ArgumentError
Lab1_G1_N3,136,20,ArgumentError
Lab1_G1_N3,137,3,non_finite_uzal_cost
Lab1_G1_N3,137,12,ArgumentError
Lab1_G1_N3,137,13,ArgumentError
Lab1_G1_N3,137,14,ArgumentError
Lab1_G1_N3,137,15,ArgumentError
Lab1_G1_N3,137,16,ArgumentError
Lab1_G1_N3,137,17,ArgumentError
Lab1_G1_N3,137,18,ArgumentError
Lab1_G1_N3,137,19,ArgumentError
Lab1_G1_N3,137,20,ArgumentError
Lab1_G1_N3,138,3,non_finite_uzal_cost
Lab1_G1_N3,138,12,ArgumentError
Lab1_G1_N3,138,13,ArgumentError
Lab1_G1_N3,138,14,ArgumentError
Lab1_G1_N3,138,15,ArgumentError
Lab1_G1_N3,138,16,ArgumentError
Lab1_G1_N3,138,17,ArgumentError
Lab1_G1_N3,138,18,ArgumentError
Lab1_G1_N3,138,19,ArgumentError
Lab1_G1_N3,138,20,ArgumentError
Lab1_G1_N3,139,12,ArgumentError
Lab1_G1_N3,139,13,ArgumentError
Lab1_G1_N3,139,14,ArgumentError
Lab1_G1_N3,139,15,ArgumentError
