column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite
Lab1_G1_N3,3,4,0,0.0,0.3019684419605,0.3019684419605,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605,0.3019684419605,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605,0.3019684419605,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196050016,0.30196844196050016,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196050016,0.30196844196050016,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196050016,0.30196844196050016,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196050016,0.30196844196050016,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196050016,0.30196844196050016,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605003,0.3019684419605003,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419605005,0.3019684419605005,false
