column,tau,dimension,uzal_cost
Lab1_G1_N1,85,6,1.0762478867696401
Lab1_G1_N1,91,8,1.0762671659743406
Lab1_G1_N1,74,9,1.0762682560754535
Lab1_G1_N1,28,7,1.0762921740713383
Lab1_G1_N1,88,8,1.076540668716793
Lab1_G1_N1,43,5,1.0766511832200159
Lab1_G1_N1,41,7,1.0766727797885323
Lab1_G1_N1,29,3,1.0770219963465
Lab1_G1_N1,75,9,1.0771216840211795
Lab1_G1_N1,32,9,1.0772303014069213
Lab1_G1_N1,37,4,1.0772335724440023
Lab1_G1_N1,69,8,1.0774027321662851
Lab1_G1_N1,85,3,1.077614705094013
Lab1_G1_N1,62,9,1.0776676238693732
Lab1_G1_N1,61,5,1.077754392527192
Lab1_G1_N1,28,9,1.077787485380859
Lab1_G1_N1,10,10,1.0779045180781117
Lab1_G1_N1,17,9,1.0779637898704628
Lab1_G1_N1,85,4,1.0780265151933228
Lab1_G1_N1,30,9,1.0780559277069135
Lab1_G1_N1,71,10,1.0781029868537164
Lab1_G1_N1,42,7,1.0781428746133919
Lab1_G1_N1,60,6,1.078204312474363
Lab1_G1_N1,87,5,1.0782066824972207
Lab1_G1_N1,62,5,1.0786270308980068
Lab1_G1_N1,93,7,1.0786483254085766
Lab1_G1_N1,49,8,1.0786760900158388
Lab1_G1_N1,61,6,1.07867709698249
Lab1_G1_N1,25,6,1.0787010748454113
Lab1_G1_N1,37,9,1.0787666820355348
Lab1_G1_N1,60,3,1.078898481696724
Lab1_G1_N1,100,7,1.0792310732656243
Lab1_G1_N1,82,4,1.0793996650544306
Lab1_G1_N1,31,9,1.079496134693513
Lab1_G1_N1,54,4,1.0795181042170072
Lab1_G1_N1,64,4,1.0795384479388004
Lab1_G1_N1,33,7,1.0795566829560146
Lab1_G1_N1,84,8,1.0796960510774967
Lab1_G1_N1,52,7,1.0797045236874632
Lab1_G1_N1,97,8,1.079811222635023
Lab1_G1_N1,59,8,1.0799054696982995
Lab1_G1_N1,83,3,1.0799924809823693
Lab1_G1_N1,17,3,1.0800107244763186
Lab1_G1_N1,19,9,1.0800266214724765
Lab1_G1_N1,9,9,1.0801200550748198
Lab1_G1_N1,78,8,1.0801226478749608
Lab1_G1_N1,49,5,1.0801671583382222
Lab1_G1_N1,42,8,1.080247898010135
Lab1_G1_N1,78,3,1.0803761347140024
Lab1_G1_N1,79,3,1.0803815935150647
Lab1_G1_N1,10,9,1.08050373473346
Lab1_G1_N1,60,8,1.0805492983616338
Lab1_G1_N1,35,3,1.080632643080672
