column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite,embedding_points_original,embedding_points_used,max_points_limit
Lab1_G4_N1пр,4,6,2,0.16447004675865173,0.16862231492996216,0.004152268171310425,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.16418039798736572,0.1670340597629547,0.0028536617755889893,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1584411859512329,0.15942521393299103,0.0009840279817581177,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.15734082460403442,0.15740996599197388,6.914138793945312e-05,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.15560035407543182,0.1598851978778839,0.004284843802452087,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.15454137325286865,0.16218020021915436,0.007638826966285706,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.15004290640354156,0.1504841148853302,0.00044120848178863525,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1440451294183731,0.15293806791305542,0.008892938494682312,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.1404503583908081,0.14717164635658264,0.006721287965774536,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.13487869501113892,0.14418195188045502,0.009303256869316101,False,1419,400,400
Lab1_G4_N1пр,4,6,2,0.13371413946151733,0.13530653715133667,0.001592397689819336,False,1419,400,400
Lab1_Ttg,66,3,2,0.6666814088821411,0.9428298473358154,0.2761484384536743,False,1307,400,400
Lab1_Ttg,66,3,2,0.6666814088821411,0.8165146112442017,0.14983320236206055,False,1307,400,400
Lab1_Ttg,66,3,2,0.6666814088821411,0.8165146112442017,0.14983320236206055,False,1307,400,400
Lab1_PposleNag,2,7,2,0.08338485658168793,0.08709263801574707,0.003707781434059143,False,1427,400,400
Lab1_PposleNag,2,7,2,0.07111084461212158,0.0754244402050972,0.0043135955929756165,False,1427,400,400
Lab1_PposleNag,2,7,2,0.06651810556650162,0.07111084461212158,0.004592739045619965,False,1427,400,400
Lab1_PposleNag,2,7,2,0.06651810556650162,0.07111084461212158,0.004592739045619965,False,1427,400,400
Lab1_PposleNag,2,7,2,0.06651810556650162,0.07111084461212158,0.004592739045619965,False,1427,400,400
